sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
99,TOSS FINANCIAL SERVICES PVT. LTD.,INZ000314234,07602,166,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=166&h_MemType=members&memName=TOSS%20FINANCIAL%20SERVICES%20PVT.%20LTD.
100,JM FINANCIAL SERVICES LIMITED,INZ000195834,10548,359,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=359&h_MemType=members&memName=JM%20FINANCIAL%20SERVICES%20LIMITED
101,MATA SECURITIES INDIA PVT. LTD.,INZ000264636,06071,371,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=371&h_MemType=members&memName=MATA%20SECURITIES%20INDIA%20PVT.%20LTD.
102,INDISTOCK SECURITIES LTD.,INZ000237431,06003,411,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=411&h_MemType=members&memName=INDISTOCK%20SECURITIES%20LTD.
103,SUSHIL FINANCIAL SERVICES PRIVATE LIMITED,INZ000165135,06074,414,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=414&h_MemType=members&memName=SUSHIL%20FINANCIAL%20SERVICES%20PRIVATE%20LIMITED
104,KNA SHARE BROKERS PRIVATE LIMITED,INZ000198538,14193,554,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=554&h_MemType=members&memName=KNA%20SHARE%20BROKERS%20PRIVATE%20LIMITED
105,PRAVIN RATILAL SHARE AND STOCK BROKERS LTD,INZ000206732,07589,463,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=463&h_MemType=members&memName=PRAVIN%20RATILAL%20SHARE%20AND%20STOCK%20BROKERS%20LTD
106,RRS SHARES & STOCK BROKERS PVT. LTD,INZ000257533,11301,510,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=510&h_MemType=members&memName=RRS%20SHARES%20%26%20STOCK%20BROKERS%20PVT.%20LTD
107,C.R.KOTHARI & SONS STOCK BROKING PRIVATE LIMITED,INZ000279336,12867,511,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=511&h_MemType=members&memName=C.R.KOTHARI%20%26%20SONS%20STOCK%20BROKING%20PRIVATE%20LIMITED
108,SDFC SECURITIES LIMITED,INB230822939/INF230822939,08229,512,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=512&h_MemType=members&memName=SDFC%20SECURITIES%20LIMITED
