sr_no,member_name,sebi_reg_no,member_code,internal_id,details_url
95,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,INZ000170832,6769,182,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=182&h_MemType=members&memName=ANAND%20RATHI%20SHARE%20AND%20STOCK%20BROKERS%20LIMITED
96,ANANT INVESTMENTS PRIVATE LIMITED,INZ000237633,14003,941,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=941&h_MemType=members&memName=ANANT%20INVESTMENTS%20PRIVATE%20LIMITED
97,ANANT SECURITIES,INZ000324821,90433,3303,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3303&h_MemType=members&memName=ANANT%20SECURITIES
98,ANG CAPITAL QUANTS PRIVATE LIMITED,INZ000174838,13007,2186,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2186&h_MemType=members&memName=ANG%20CAPITAL%20QUANTS%20PRIVATE%20LIMITED
99,ANGEL CREST LIMITED,,,3240,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3240&h_MemType=members&memName=ANGEL%20CREST%20LIMITED
100,ANGEL ONE LIMITED,INZ000161534,12798,397,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=397&h_MemType=members&memName=ANGEL%20ONE%20LIMITED
101,ANGEL SECURITIES LTD,INZ000245435,9946,2254,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2254&h_MemType=members&memName=ANGEL%20SECURITIES%20LTD
102,ANIL KUMAR SEHGAL,INB230779219,7792,637,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=637&h_MemType=members&memName=ANIL%20KUMAR%20SEHGAL
103,ANISHA FINCAP CONSULTANTS LLP,INZ000322436,90110,2985,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2985&h_MemType=members&memName=ANISHA%20FINCAP%20CONSULTANTS%20LLP
104,ANJANEY STOCK BROKING LTD.,INZ000263532,12417,1962,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1962&h_MemType=members&memName=ANJANEY%20STOCK%20BROKING%20LTD.
105,ANS PVT. LTD.,INZ000196431,10585,1885,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1885&h_MemType=members&memName=ANS%20PVT.%20LTD.
106,ANTARA CAPITAL PRIVATE LIMITED,,,3350,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3350&h_MemType=members&memName=ANTARA%20CAPITAL%20PRIVATE%20LIMITED
107,ANTIQUE STOCK BROKING LTD.,INZ000001131,12987,203,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=203&h_MemType=members&memName=ANTIQUE%20STOCK%20BROKING%20LTD.
108,ANUGRAH STOCK & BROKING PVT. LTD.,INZ000200231,11856,1866,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1866&h_MemType=members&memName=ANUGRAH%20STOCK%20%26%20BROKING%20PVT.%20LTD.
109,ANUSH SHARES & SECURITIES PVT.LTD.,INZ000271235,14453,171,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=171&h_MemType=members&memName=ANUSH%20SHARES%20%26%20SECURITIES%20PVT.LTD.
110,ANV BROKING,INZ000283615,14013,2541,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2541&h_MemType=members&memName=ANV%20BROKING
111,ANVIL SHARE & STOCK BROKING PVT. LTD,INZ000232336,10468,458,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=458&h_MemType=members&memName=ANVIL%20SHARE%20%26%20STOCK%20BROKING%20PVT.%20LTD
112,APEX FINGROW PRIVATE LIMITED,INZ000318730,90390,3263,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3263&h_MemType=members&memName=APEX%20FINGROW%20PRIVATE%20LIMITED
113,ARCADIA SHARE & STOCK BROKERS PRIVATE LIMITED,INZ000231731,7782,478,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=478&h_MemType=members&memName=ARCADIA%20SHARE%20%26%20STOCK%20BROKERS%20PRIVATE%20LIMITED
114,ARCH FINANCE LTD.,INZ000206539,9698,1098,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1098&h_MemType=members&memName=ARCH%20FINANCE%20LTD.
115,ARETE SECURITIES LIMITED,INZ000241036,11782,1854,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=1854&h_MemType=members&memName=ARETE%20SECURITIES%20LIMITED
116,ARHAM SHARE PRIVATE LIMITED,INZ000175534,14275,2549,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2549&h_MemType=members&memName=ARHAM%20SHARE%20PRIVATE%20LIMITED
117,ARHAM WEALTH MANAGEMENT PVT LTD,INZ000189034,90030,2906,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2906&h_MemType=members&memName=ARHAM%20WEALTH%20MANAGEMENT%20PVT%20LTD
118,ARIHANT CAPITAL MARKETS LIMITED,INZ000180939,7839,881,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=881&h_MemType=members&memName=ARIHANT%20CAPITAL%20MARKETS%20LIMITED
119,ARIHANT COMMO-DERIVATIVES PRIVATE LIMITED,INZ000303435,90351,3222,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=3222&h_MemType=members&memName=ARIHANT%20COMMO-DERIVATIVES%20PRIVATE%20LIMITED
120,ARISTON CAPITAL SERVICES PRIVATE LIMITED,INZ000162033,13247,2344,https://enit.nseindia.com/MemDirWeb/brokerDetailPage_Beta?memID=2344&h_MemType=members&memName=ARISTON%20CAPITAL%20SERVICES%20PRIVATE%20LIMITED
